ItemID, Title, Category, DateFound, Status
4013, "abg", "Bags", 2026-03-25, "Found"
4012, "sxx", "Personal Items", 2026-03-25, "Found"
4011, "bbn", "Bags", 2026-03-25, "Found"
4010, "aa", "Electronics", 2026-03-25, "Found"
4007, "avqw", "Electronics", 2026-03-24, "Found"
4006, "vbs", "Books", 2026-03-24, "Found"
4005, "avva", "Personal Items", 2026-03-24, "Found"
4004, "sddsa", "Accessories", 2026-03-24, "Found"
3008, "aaa", "Electronics", 2026-03-22, "Processing Claim"
3007, "aa", "Electronics", 2026-03-22, "Found"
3004, "bag", "Bags", 2026-03-22, "Found"
